Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1996,21,MON,NL,9,27,-2,0,0,1,0,-1,-0.2,1,-1,-0.1,0.484,0.499,-0.2,0.1,-2,,/98,
1997,22,MON,NL,90,354,9,1,-1,2,-3,8,0.7,11,19,1.8,0.509,0.505,1.6,-0.2,17,$150000.00,1,RoY-6
1998,23,MON,NL,159,677,45,-1,0,17,-6,55,5.3,21,76,7.4,0.54,0.534,5.8,1.1,59,$230000.00,*9,MVP-13
1999,24,MON,NL,160,674,37,0,-2,-2,-6,27,2.4,21,48,4.4,0.516,0.5,4.7,-0.8,50,$1050000.00,*9,ASMVP-11SS
2000,25,MON,NL,154,641,49,-1,-1,4,-6,45,4.0,20,65,6,0.527,0.526,5.7,-0.3,61,$3500000.00,*9/D,ASMVP-6SS
2001,26,MON,NL,159,671,31,0,-2,7,-6,31,2.9,21,52,4.9,0.519,0.519,4,0.0,44,$6000000.00,*9,ASMVP-24
2002,27,MON,NL,161,709,50,3,-1,4,-6,50,5,21,71,7.0,0.532,0.531,6.7,-0.3,67,$8000000.00,*9,ASMVP-4SS
2003,28,MON,NL,112,467,31,-2,-2,-4,-4,19,1.8,15,34,3.2,0.517,0.512,4,-0.9,38,$11500000.00,*9,MVP-17
2004,29,ANA,AL,156,680,47,3,-1,-10,-7,33,3.2,25,58,5.6,0.520,0.519,6.4,-1.5,68,$11000000.00,*9D,ASMVP-1SS
2005,30,LAA,AL,141,594,36,0,-1,8,-6,36,3.6,22,58,5.7,0.525,0.522,4.9,0.2,50,$12500000.00,*9D,ASMVP-3SS
2006,31,LAA,AL,156,665,25,0,1,-5,-8,14,1.4,25,38,3.8,0.508,0.508,4.2,-1,43,$13500000.00,*9D,ASMVP-9SS
2007,32,LAA,AL,150,660,35,-2,1,-3,-8,23,2.3,24,47,5,0.515,0.514,4.9,-1.0,50,$14500000.00,9D,ASMVP-3SS
2008,33,LAA,AL,143,600,20,-1,-3,-7,-8,1,0.3,23,24,2.4,0.501,0.50,3.1,-1.4,31,$15500000.00,9D,MVP-14
2009,34,LAA,AL,100,407,5,-1,-2,-1,-9,-8,-0.7,15,8,0.7,0.492,0.495,0.9,-0.9,9,$15000000.00,D/9,
2010,35,TEX,AL,152,643,14,-4,-1,-4,-13,-7,-0.6,24,18,1.8,0.496,0.496,2.2,-1.7,22,$5500000.00,*D9/7,ASMVP-11SS
2011,36,BAL,AL,145,590,-3,0,-3,0,-13,-18,-1.9,22,4,0.2,0.487,0.488,0.3,-1.3,4,$7611455.00,*D,
16 Seasons,16 Seasons,16 Seasons,,2147,9059,429,-3,-17,7,-108,308,29.5,311,619,59.4,0.514,0.513,59.1,-10.0,611,$125541455.00,,
,,,,,,,,,,,,,,,,,,,,,,,
MON (8 yrs),MON (8 yrs),MON (8 yrs),,1004,4220,249,0,-8,29,-37,234,22,131,365,34.6,0.523,0.5,32.2,-1.3,335,$30430000.00,,
LAA (6 yrs),LAA (6 yrs),LAA (6 yrs),,846,3606,168,0,-6,-18,-46,99,10.1,134,233,22.8,0.511,0.511,24.5,-5.7,251,$82000000.00,,
TEX (1 yr),TEX (1 yr),TEX (1 yr),,152,643,14,-4,-1,-4,-13,-7,-0.6,24,18,1.8,0.496,0.496,2,-1.7,22,$5500000.00,,
BAL (1 yr),BAL (1 yr),BAL (1 yr),,145,590,-3,0,-3,0,-13,-18,-1.9,22,4,0.2,0.487,0.488,0.3,-1.3,4,$7611455.00,,
