Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1892,20,NYG,NL,14,57,2,0,0,0,0,3,0.2,2,5,0.4,0.518,0.502,0.5,0.0,5,,5,
1893,21,NYG,NL,7,29,3,0,0,-1,0,2,0.2,1,3,0.3,0.525,0.501,0.4,-0.1,4,,/O46,
1893,21,BRO,NL,20,85,0,0,0,-3,0,-3,-0.3,3,0,0.0,0.49,0.498,0.3,-0.2,3,,5/O,
1894,22,BLN,NL,129,664,29,-2,0,3,-8,22,1.5,20,42,3.5,0.512,0.5,3.4,-0.4,39,,*O/4,
1895,23,BLN,NL,131,637,36,0,0,15,-8,43,3.3,20,63,5,0.525,0.520,4.2,0.5,48,,*O,
1896,24,BLN,NL,126,601,38,5,0,6,-8,42,3.4,19,61,5.3,0.527,0.521,5,-0.2,55,,*O,
1897,25,BLN,NL,129,618,59,5,0,8,-8,64,5,20,83,7.1,0.540,0.532,6.5,0.0,75,,*O,
1898,26,BLN,NL,129,604,29,-2,0,8,-8,27,2.5,19,46,4.5,0.520,0.516,4,0.0,38,$2600.00,*O/5,
1899,27,BRO,NL,141,633,34,-1,0,5,-8,30,2.6,21,51,4.8,0.519,0.517,4.4,-0.3,46,,*O,
1900,28,BRO,NL,136,619,25,0,0,2,-8,19,1.7,20,40,3.7,0.513,0.511,3.6,-0.5,37,,*O/4,
1901,29,BRO,NL,136,645,22,-2,0,-2,-7,11,1.0,19,30,3.2,0.508,0.507,3.5,-1,32,$3000.00,*O5/4,
1902,30,BRO,NL,133,612,21,-1,0,6,-7,19,2.0,18,37,4.1,0.516,0.513,3.5,-0.2,31,,*O,
1903,31,NYY,AL,132,584,13,-1,0,-5,-7,0,-0.2,20,20,2.0,0.50,0.500,2.7,-1.4,25,$10000.00,*O/5,
1904,32,NYY,AL,143,612,30,-1,0,2,-8,23,2.6,21,44,5.0,0.519,0.517,4.9,-0.8,42,$10000.00,*O,
1905,33,NYY,AL,149,650,14,-2,0,-3,-7,2,0,22,25,2.7,0.502,0.5,3.0,-1,27,,*O4/5,
1906,34,NYY,AL,152,672,8,-2,0,0,-8,-2,-0.2,23,21,2.2,0.498,0.498,2.2,-1,21,,*O,
1907,35,NYY,AL,107,467,-17,-1,0,-5,-6,-29,-3.5,16,-12,-1.8,0.468,0.479,-1.2,-1.3,-7,,*O,
1908,36,NYY,AL,91,377,3,-1,0,-3,-5,-5,-0.7,13,8,0.8,0.493,0.496,1.2,-0.9,11,,1,
1909,37,NYY,AL,99,427,4,-1,0,-3,-5,-5,-0.8,15,9,0.8,0.493,0.496,1.3,-1.1,12,,9,
1910,38,NYG,NL,19,14,1,0,0,0,0,1,0,0,1,0.1,0.50,0.500,0.1,0.0,1,,/87,
19 Seasons,19 Seasons,19 Seasons,,2123,9607,353,-6,0,30,-114,263,20.8,313,576,54.1,0.51,0.509,53.0,-9.9,546,$25600.00,,
NYY (7 yrs),NYY (7 yrs),NYY (7 yrs),,873,3789,54,-8,0,-17,-45,-16,-2.5,130,114,11.7,0.498,0.499,14.0,-7.6,131,$20000.00,,
BRO (5 yrs),BRO (5 yrs),BRO (5 yrs),,566,2594,103,-4,0,8,-30,76,7.0,81,157,15.8,0.513,0.511,15.3,-2.3,149,$3000.00,,
BLN (5 yrs),BLN (5 yrs),BLN (5 yrs),,644,3124,191,6,0,40,-39,197,15.8,98,296,25.8,0.525,0.520,22.8,0,256,$2600.00,,
NYG (3 yrs),NYG (3 yrs),NYG (3 yrs),,40,100,5,1,0,-1,0,6,1,3,9,0.8,0.512,0.501,0.9,0,10,,,
