Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1951,20,NYG,NL,121,523,12,-1,1,8,-1,19,1.9,20,39,4.0,0.517,0.512,3.2,0.7,31,$7500.00,*8,RoY-1
1952,21,NYG,NL,34,144,0,2,1,4,0,7,0.7,5,12,1.3,0.521,0.504,0.8,0.4,8,$12500.00,8,
,,,,,,,,,,,,,,,,,,,,,,,
1954,23,NYG,NL,151,641,61,3,-1,21,-1,83,8.2,24,107,10.6,0.555,0.6,8.6,2.0,86,$12500.00,*8,ASMVP-1
1955,24,NYG,NL,152,670,59,5,0,7,-1,70,6.7,24,94,9,0.546,0.543,8.7,0.4,88,$12500.00,*8,ASMVP-4
1956,25,NYG,NL,152,651,35,6,-2,13,-1,51,5.0,24,76,7.6,0.536,0.534,7,1.1,63,$30000.00,*8,ASMVP-17
1957,26,NYG,NL,152,669,54,2,-1,4,-1,58,6,25,83,8.3,0.540,0.537,8.1,0.2,79,$50000.00,*8,ASMVP-4GG
1958,27,SFG,NL,152,685,54,8,0,15,-1,77,7.8,24,101,10.3,0.552,0.549,9,1.5,86,$75000.00,*8,ASMVP-2GG
1959,28,SFG,NL,151,649,41,6,1,4,-1,52,5.3,24,76,7.8,0.535,0.533,7.4,0.4,71,$75000.00,*8,ASMVP-6GG
1960,29,SFG,NL,153,669,48,5,0,14,-1,67,7.0,25,91,9.5,0.546,0.544,8.0,1.4,77,$80000.00,*8,ASMVP-3GG
1961,30,SFG,NL,154,659,46,2,1,14,-1,62,6.2,25,87,8.7,0.541,0.539,7.3,1,73,$85000.00,*8,ASMVP-6GG
1962,31,SFG,NL,162,706,55,4,-2,20,-1,77,7.9,26,103,11,0.548,0.548,8.3,2.1,83,$75000.00,*8,ASMVP-2GG
1963,32,SFG,NL,157,671,56,4,-2,12,-1,70,8.0,25,94,10.6,0.551,0.55,9.1,1.4,83,$80000.00,*8/6,ASMVP-5GG
1964,33,SFG,NL,157,665,53,7,0,17,-1,76,8.5,25,101,11.0,0.553,0.551,9.0,2.0,84,$85000.00,*8/356,ASMVP-6GG
1965,34,SFG,NL,157,638,63,4,-1,15,-1,81,8.8,24,105,11.2,0.556,0.554,9.5,1.6,89,$90000.00,*8/97,ASMVP-1GG
1966,35,SFG,NL,152,629,40,2,0,18,-1,60,7,23,82,9.0,0.543,0.540,6.8,2.1,64,$105000.00,*8/97,ASMVP-3GG
1967,36,SFG,NL,141,544,15,3,-1,2,-1,19,2.4,19,39,4.4,0.516,0.514,3.9,0.3,36,$105000.00,*8,ASGG
1968,37,SFG,NL,148,573,30,2,-1,2,-1,32,4.2,20,51,6.3,0.527,0.524,5.7,0.4,49,$105000.00,*8/39,ASMVP-13GG
1969,38,SFG,NL,117,459,15,1,-1,-3,-1,13,2,16,28,3.1,0.512,0.509,3.3,-0.3,31,$125000.00,0,AS
1970,39,SFG,NL,139,566,29,5,0,-2,-1,32,3.3,19,51,5.2,0.523,0.52,5.3,-0.2,53,$125000.00,*8/3,AS
1971,40,SFG,NL,136,537,35,6,0,1,-3,39,4.5,18,57,6.3,0.532,0.527,6.1,-0.2,57,$160000.00,83,ASMVP-19
1972,41,SFG,NL,19,67,0,1,-1,-1,0,0,0,2,2,0.2,0.499,0.5,0.3,-0.1,3,$165000.00,8,AS
1972,41,NYM,NL,69,242,12,-1,0,-3,-1,7,0.9,8,15,1.6,0.512,0.505,1.9,-0.4,18,,83,AS
1973,42,NYM,NL,66,239,-5,0,-1,1,-1,-6,-0.8,8,2,0,0.489,0.496,-0.1,0,0,$165000.00,83,AS
22 Seasons,22 Seasons,22 Seasons,,2992,12496,809,77,-8,185,-19,1044,110.3,453,1497,156.4,0.537,0.534,136.8,18.2,1312,$1825000.00,,
SFG (21 yrs),SFG (21 yrs),SFG (21 yrs),,2857,12015,802,78,-7,187,-17,1043,110.2,438,1480,154.8,0.539,0.536,135,18.6,1294,$1660000.00,,
NYM (2 yrs),NYM (2 yrs),NYM (2 yrs),,135,481,7,-1,-1,-2,-2,1,0.1,16,17,1.6,0.501,0.501,1.8,-0.4,19,$165000.00,,
