Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1959,21,SFG,NL,52,219,23,1,0,1,-3,22,2.3,8,30,3.1,0.543,0.514,3.0,-0.1,29,,3,MVP-22RoY-1
1960,22,SFG,NL,101,307,12,0,1,-3,-4,6,0.6,12,17,1.7,0.506,0.504,2.1,-0.8,20,,3,
1961,23,SFG,NL,106,374,11,1,1,4,-5,12,1.2,14,26,2.6,0.51,0.508,2.3,-0.1,23,,3,
1962,24,SFG,NL,91,262,16,-2,1,-1,-4,9,0.9,10,19,1.9,0.510,0.5,2.0,-0.5,20,$17500.00,739,
1963,25,SFG,NL,152,627,41,0,1,1,-8,34,4.0,24,58,7,0.526,0.524,6.3,-0.8,57,,*73/9,ASMVP-17
1964,26,SFG,NL,130,434,6,-2,0,-14,-6,-17,-1.8,16,0,-0.1,0.486,0.489,1,-2.1,14,,73/9,
1965,27,SFG,NL,160,639,39,1,0,0,-8,31,3,24,55,5.9,0.522,0.521,5.9,-1.0,55,$34500.00,*3,MVP-10
1966,28,SFG,NL,150,588,43,2,0,-3,-8,33,3.7,21,54,5.9,0.524,0.522,6,-1.1,57,$42500.00,*3,ASMVP-17
1967,29,SFG,NL,135,539,34,0,0,-1,-7,25,3.0,19,45,5.0,0.521,0.518,5.0,-0.9,46,,*3,MVP-29
1968,30,SFG,NL,148,608,45,-1,0,1,-8,37,4.8,21,58,7.0,0.531,0.528,6.7,-0.8,57,$60000.00,*3,ASMVP-3
1969,31,SFG,NL,149,623,67,1,1,-8,-8,54,5.9,21,75,8.1,0.539,0.536,8.8,-2,83,$85000.00,*3,ASMVP-1
1970,32,SFG,NL,152,638,55,-2,0,-3,-8,43,4.4,22,65,7,0.528,0.527,6.7,-1.0,67,$110000.00,*3,ASMVP-9
1971,33,SFG,NL,105,402,18,-2,1,-1,-5,10,1.2,14,24,2.6,0.511,0.51,2.7,-0.7,25,$110000.00,3,ASMVP-15
1972,34,SFG,NL,81,304,0,-2,1,-8,-4,-13,-1.5,10,-4,-0.5,0.481,0.490,0.4,-1.3,5,$125000.00,3,
1973,35,SFG,NL,130,495,30,-2,0,-8,-5,15,1.6,16,32,3.1,0.513,0.510,4.0,-1.5,39,$125000.00,*3,
1974,36,SDP,NL,128,443,30,0,0,-8,-5,17,2,14,32,3.2,0.515,0.512,4.0,-1.4,40,$110000.00,3,
1975,37,SDP,NL,122,475,13,-2,0,-4,-5,2,0,15,17,2,0.502,0.501,2.0,-1.1,21,,*3,
1976,38,SDP,NL,71,224,-5,0,0,5,-2,-2,-0.3,7,5,0.5,0.497,0.499,-0.2,0.3,0,,3,
1976,38,OAK,AL,11,27,-2,0,0,0,-1,-2,-0,1,-1,-0.2,0.476,0.498,-0.2,-0.1,-1,,/D,
1977,39,SFG,NL,141,548,19,-2,-3,-10,-7,-3,-0.4,18,15,1,0.498,0.498,2.4,-1.8,25,$50000.00,*3,MVP-20
1978,40,SFG,NL,108,390,0,-2,-1,-10,-4,-17,-1.9,13,-4,-0.7,0.482,0.488,0,-1.6,5,,3,
1979,41,SFG,NL,117,394,1,-1,0,-6,-4,-10,-1.1,13,3,0.2,0.491,0.493,0.8,-1.1,9,,3,
1980,42,SFG,NL,48,132,-6,-1,0,-2,-1,-10,-1.2,5,-6,-0.7,0.476,0.493,-0.5,-0.5,-3,,3,
22 Seasons,22 Seasons,22 Seasons,,2588,9692,487,-15,4,-80,-120,276,30.5,338,613,64.5,0.512,0.511,72,-21.6,693,$869500.00,,
SFG (19 yrs),SFG (19 yrs),SFG (19 yrs),,2256,8523,451,-13,3,-73,-107,261,29.1,299,561,59.4,0.513,0.511,66.3,-19.4,633,$759500.00,,
SDP (3 yrs),SDP (3 yrs),SDP (3 yrs),,321,1142,38,-2,0,-7,-12,17,1.7,37,54,5.3,0.506,0.505,5.9,-2.2,61,$110000.00,,
OAK (1 yr),OAK (1 yr),OAK (1 yr),,11,27,-2,0,0,0,-1,-2,-0.3,1,-1,-0.2,0.476,0.498,-0.2,-0.1,-1,,,
