Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1962,22,PIT,NL,10,34,0,0,0,0,0,-1,-0.1,1,1,0.1,0.495,0.500,0.0,0.0,0,,/978,
1963,23,PIT,NL,108,328,-1,0,0,-9,-4,-14,-1.6,12,-1,-0.3,0.485,0.490,0.7,-1.4,7,,99,
1964,24,PIT,NL,117,443,10,0,0,-8,-6,-4,-0.4,17,12,1.3,0.50,0.497,2.2,-1.5,21,,73/98,AS
1965,25,PIT,NL,144,582,17,-2,1,2,-8,10,1.1,22,32,3.3,0.508,0.5,3.2,-0.7,30,,*79/3,ASMVP-14
1966,26,PIT,NL,140,549,37,1,0,-6,-7,25,2.8,20,45,5,0.519,0.517,5.4,-1.4,51,,*73/9,ASMVP-15
1967,27,PIT,NL,134,536,16,1,0,-8,-7,1,0.3,19,20,2.3,0.501,0.501,3,-1.6,28,,73/9,
1968,28,PIT,NL,128,496,12,0,-1,-6,-7,-2,0,17,15,1.8,0.498,0.499,2.3,-1.5,21,,*73/9,
1969,29,PIT,NL,145,594,39,1,0,-6,-7,27,3.1,20,48,5.2,0.521,0.518,6,-1.3,53,,*73/9,MVP-21
1970,30,PIT,NL,136,529,14,-1,-2,2,-6,7,0.8,18,25,2.5,0.505,0.504,2.2,-0.3,22,,*7/93,MVP-15
1971,31,PIT,NL,141,606,55,1,-1,3,-7,52,5.8,20,72,7.9,0.541,0.536,7.4,-0.4,69,,*7,ASMVP-2
1972,32,PIT,NL,138,569,36,-1,0,-9,-8,18,2.1,18,36,3.9,0.514,0.512,4.8,-2,45,,37,ASMVP-3
1973,33,PIT,NL,148,609,54,-1,1,3,-6,51,5.3,20,71,7,0.537,0.534,7.0,-0.4,68,,*7,ASMVP-2
1974,34,PIT,NL,140,605,41,-3,0,1,-6,33,3.5,20,53,5.4,0.526,0.52,5.2,-0.5,51,$165000.00,*7/3,MVP-10
1975,35,PIT,NL,124,526,28,-2,-1,-1,-6,19,1.9,17,36,3.6,0.516,0.512,3.7,-0.9,37,,*3,MVP-7
1976,36,PIT,NL,117,487,13,-1,1,-12,-6,-5,-0.6,16,11,0.9,0.495,0.496,2.2,-2.0,23,,*3,
1977,37,PIT,NL,63,222,9,0,0,-4,-3,2,0,7,9,0.8,0.503,0.501,1.3,-0.8,13,$175000.00,3,
1978,38,PIT,NL,122,450,27,0,0,-6,-6,15,1.7,14,30,3.1,0.514,0.510,4,-1.3,36,,*3,ASMVP-9
1979,39,PIT,NL,126,480,21,-2,-1,-4,-6,9,1.0,15,25,3,0.508,0.506,2.9,-1.0,28,,*3,MVP-1
1980,40,PIT,NL,67,231,7,-1,0,0,-3,4,0.4,8,12,1.2,0.51,0.50,1.2,-0,11,,3,
1981,41,PIT,NL,38,66,-1,0,0,-3,0,-4,-0.5,2,-2,-0.2,0.488,0.497,0.1,-0.4,1,,/3,
1982,42,PIT,NL,74,85,-1,0,0,0,0,-1,-0.1,3,2,0.2,0.498,0.499,0.1,0.0,2,,/3,
21 Seasons,21 Seasons,21 Seasons,,2360,9027,433,-13,-2,-70,-107,241,26.6,308,548,57.5,0.511,0.51,64.2,-19.5,618,$340000.00,,
