Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1946,21,NYY,AL,7,23,3,0,0,1,0,4,0.4,1,5,0.5,0.559,0.503,0.4,0.1,4,,/2,
1947,22,NYY,AL,83,306,4,0,0,-1,1,4,0.4,9,13,1.3,0.505,0.503,1.4,-0.1,14,$5125.00,279,MVP-15
1948,23,NYY,AL,125,497,10,1,1,-2,0,10,1.0,14,25,2.4,0.51,0.506,2.6,-0.2,27,$9000.00,29,ASMVP-29
1949,24,NYY,AL,116,443,4,2,2,2,4,13,1.3,13,26,2.6,0.511,0.5,2.4,0.6,24,$14000.00,*2,ASMVP-15
1950,25,NYY,AL,151,656,31,2,0,1,5,39,3.7,20,59,6,0.524,0.522,5.5,0.6,58,$17500.00,*2,ASMVP-3
1951,26,NYY,AL,141,594,21,1,-1,4,5,30,3.0,18,48,4.8,0.521,0.518,4,0.9,44,$28500.00,*2,ASMVP-1
1952,27,NYY,AL,142,603,27,1,0,2,5,35,4,18,53,5.6,0.526,0.523,5.3,0.8,51,$33000.00,*2,ASMVP-4
1953,28,NYY,AL,137,557,23,0,2,2,5,31,3.2,17,49,5.0,0.524,0.520,5,0.7,46,$36000.00,*2,ASMVP-2
1954,29,NYY,AL,151,651,25,1,1,-1,6,31,3.3,20,51,5.4,0.522,0.521,5.5,0.5,52,$40000.00,*2/5,ASMVP-1
1955,30,NYY,AL,147,615,14,1,0,3,6,24,2.6,19,43,4.5,0.517,0.516,4.1,1.0,40,$50000.00,*2,ASMVP-1
1956,31,NYY,AL,140,596,29,3,3,5,6,45,4.5,18,64,6.3,0.532,0.528,5.7,1,59,$58000.00,*2/7,ASMVP-2
1957,32,NYY,AL,134,545,3,1,1,3,6,13,1.3,17,30,3,0.511,0.509,2.8,0.9,27,$65000.00,*2/79,ASMVP-14
1958,33,NYY,AL,122,476,8,0,1,4,4,17,1.7,15,31,3.2,0.515,0.511,2.8,0.8,28,$60000.00,29/3,ASMVP-18
1959,34,NYY,AL,131,521,16,-2,1,2,6,24,2.3,16,40,3.9,0.519,0.515,3.9,0.8,38,$57500.00,*2/9,ASMVP-12
1960,35,NYY,AL,120,404,8,1,-1,2,2,11,1,12,24,2.3,0.51,0.507,2.2,0.3,22,$57500.00,279,ASMVP-15
1961,36,NYY,AL,119,436,6,2,1,4,-4,9,0.8,13,23,2.1,0.508,0.506,1.8,-0.1,19,$57500.00,72/9,ASMVP-23
1962,37,NYY,AL,86,263,-7,-1,0,2,0,-6,-0.8,8,2,0,0.492,0.496,-0.1,0.2,0,$57500.00,27,AS
1963,38,NYY,AL,64,164,6,1,0,-1,2,8,0.8,5,13,1.3,0.513,0.505,1.4,0,14,$52500.00,2,
,,,,,,,,,,,,,,,,,,,,,,,
1965,40,NYM,NL,4,9,-1,0,0,-1,0,-2,-0.2,0,-1,-0.1,0.457,0.499,0,-0.1,0,$30000.00,/2,
19 Seasons,19 Seasons,19 Seasons,,2120,8359,229,13,11,30,59,341,34,254,595,59.4,0.516,0.514,56.7,8.8,565,$728625.00,,
NYY (18 yrs),NYY (18 yrs),NYY (18 yrs),,2116,8350,230,13,11,31,58,342,34.1,254,597,59.5,0.517,0.514,56.7,8.9,566,$698625.00,,
NYM (1 yr),NYM (1 yr),NYM (1 yr),,4,9,-1,0,0,-1,0,-2,-0.2,0,-1,-0.1,0.457,0.499,0,-0.1,0,$30000.00,,
