Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1909,21,BRO,NL,26,115,4,0,0,0,-1,3,0.4,4,7,0.7,0.514,0.502,0.7,-0.2,7,,7/8,
1910,22,BRO,NL,156,672,12,-1,0,3,-8,6,0.7,20,26,2.6,0.504,0.504,2.3,-0.5,23,$2100.00,*7,
1911,23,BRO,NL,140,590,6,-1,0,1,-7,-1,-0.3,18,17,1.6,0.50,0.499,1.7,-0.8,16,,*7/8,
1912,24,BRO,NL,123,505,16,-1,0,4,-6,13,1.3,16,29,2.9,0.511,0.5,2.5,-0.3,25,,*7,
1913,25,BRO,NL,138,573,9,-2,0,10,-7,10,1.1,18,28,3,0.508,0.507,1.8,0.4,18,$3300.00,*7,
1914,26,BRO,NL,145,604,28,-1,0,8,-8,27,2.9,19,46,4.9,0.521,0.519,4,0.0,38,,*7,MVP-9
1915,27,BRO,NL,146,597,5,1,0,9,-8,7,1,18,25,2.7,0.506,0.505,1.8,0.1,16,$5350.00,*7,
1916,28,BRO,NL,149,626,31,-1,0,10,-8,32,4.0,19,52,6.0,0.527,0.525,5,0.3,41,,*7/9,
1917,29,BRO,NL,109,387,14,0,0,6,-5,14,1.7,12,26,2.9,0.516,0.511,2.2,0.1,20,,7,
1918,30,BRO,NL,105,436,14,-1,0,3,-5,11,1.3,13,25,2.7,0.513,0.508,2.4,-0.3,22,,*7/8,
1919,31,BRO,NL,137,581,15,-1,0,1,-7,8,0.8,17,26,2.7,0.507,0.506,2.7,-1,25,,*7,
1920,32,BRO,NL,148,643,30,0,0,2,-7,24,2.6,19,43,4.8,0.518,0.517,4.6,-0.7,41,,*7,
1921,33,BRO,NL,148,624,17,1,0,-4,-7,8,0.7,19,27,2.7,0.51,0.505,3.2,-1.2,31,,*7,
1922,34,BRO,NL,152,660,26,1,0,4,-7,24,2.3,20,44,4.3,0.515,0.514,3.9,-0.2,40,$8300.00,*7,
1923,35,BRO,NL,98,378,23,0,0,-6,-4,14,1,12,25,2.5,0.513,0.5,3.1,-1,31,$10000.00,7/9,
1924,36,BRO,NL,141,624,51,0,0,4,-6,49,4.8,19,67,6.7,0.535,0.530,6.4,-0.3,63,$14000.00,*7,MVP-3
1925,37,BRO,NL,150,671,39,1,0,-1,-7,33,3.0,20,53,5.0,0.520,0.519,5.2,-1,54,$15000.00,*7,MVP-15
1926,38,BRO,NL,111,445,-1,0,0,2,-5,-4,-0.4,14,10,1.0,0.497,0.498,0.8,-0.3,8,$16000.00,7,
1927,39,PHA,AL,88,275,0,-1,0,-2,-3,-5,-0.5,10,5,0.5,0.494,0.497,0.7,-1,7,,0,
19 Seasons,19 Seasons,19 Seasons,,2410,10006,339,-5,0,54,-116,272,28.4,307,579,60.2,0.512,0.511,54.8,-6.9,525,$74050.00,,
BRO (18 yrs),BRO (18 yrs),BRO (18 yrs),,2322,9731,339,-5,0,56,-114,277,28.9,297,574,59.6,0.513,0.511,54.1,-6.5,518,$74050.00,,
PHA (1 yr),PHA (1 yr),PHA (1 yr),,88,275,0,-1,0,-2,-3,-5,-0.5,10,5,0.5,0.494,0.497,1,-1,7,,,
